;color;director_name;duration;gross;genres;movie_title;title_year;country;budget;imdb_score;actors;movie_facebook_likes;title_year_
0;Color;Martin Scorsese;240;116866727.0;Biography|Comedy|Crime|Drama;the wolf of wall street;2013;United States of America;100000000.0;8.2;Leonardo DiCaprio,Matthew McConaughey,Jon Favreau;138000;2013
1;Color;Shane Black;195;408992272.0;Action|Adventure|Sci-Fi;iron man 3;2013;United States of America;200000000.0;7.2;Robert Downey Jr.,Jon Favreau,Don Cheadle;95000;2013
2;Color;Quentin Tarantino;187;54116191.0;Crime|Drama|Mystery|Thriller|Western;the hateful eight;2015;United States of America;44000000.0;7.9;Craig Stark,Jennifer Jason Leigh,Zoë Bell;114000;2015
3;Color;Kenneth Lonergan;186;46495.0;Drama;margaret;2011;United States of America;14000000.0;6.5;Matt Damon,Kieran Culkin,John Gallagher Jr.;0;2011
4;Color;Peter Jackson;186;258355354.0;Adventure|Fantasy;the hobbit: the desolation of smaug;2013;United States of America;225000000.0;7.9;Aidan Turner,Adam Brown,James Nesbitt;83000;2013
6;Color;Peter Jackson;144;303001229.0;Adventure|Fantasy;the hobbit: an unexpected journey;2012;United States of America;180000000.0;7.9;Aidan Turner,Adam Brown,James Nesbitt;166000;2012
7;Color;Edward Hall;180;103867764.0;Drama|Romance;restless;2012;United Kingdom;104051364.53488372;7.2;Rufus Sewell,Hayley Atwell,Charlotte Rampling;434;2012
8;Color;Joss Whedon;173;623279547.0;Action|Adventure|Sci-Fi;the avengers;2012;United States of America;220000000.0;8.1;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;123000;2012
10;Color;Tom Tykwer;172;27098580.0;Drama|Sci-Fi;cloud atlas;2012;Germany;102000000.0;7.2;Tom Hanks,Jim Sturgess,Jim Broadbent;124000;2012
11;Color;Not avaiable;158;102515793.0;Crime|Drama|Mystery|Thriller;the girl with the dragon tattoo;2011;United States of America;90000000.0;7.8;Robin Wright,Goran Visnjic,Joely Richardson;54000;2011
13;Color;Christopher Nolan;169;187991439.0;Adventure|Drama|Sci-Fi;interstellar;2014;United States of America;165000000.0;8.6;Matthew McConaughey,Anne Hathaway,Mackenzie Foy;349000;2014
14;Color;F. Gary Gray;167;103867764.0;Biography|Crime|Drama|History|Music;straight outta compton;2015;United States of America;28000000.0;7.9;Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor;76000;2015
15;Color;Richard Linklater;165;25359200.0;Drama;boyhood;2014;United States of America;4000000.0;8.0;Ellar Coltrane,Lorelei Linklater,Libby Villari;92000;2014
16;Color;Quentin Tarantino;144;162804648.0;Drama|Western;django unchained;2012;United States of America;100000000.0;8.5;Leonardo DiCaprio,Christoph Waltz,Ato Essandoh;199000;2012
17;Color;Michael Bay;165;245428137.0;Action|Adventure|Sci-Fi;transformers: age of extinction;2014;United States of America;210000000.0;5.7;Bingbing Li,Sophia Myles,Kelsey Grammer;56000;2014
18;Color;Christopher Nolan;164;448130642.0;Action|Thriller;the dark knight rises;2012;United States of America;250000000.0;8.5;Tom Hardy,Christian Bale,Joseph Gordon-Levitt;164000;2012
19;Color;Peter Jackson;164;255108370.0;Adventure|Fantasy;the hobbit: the battle of the five armies;2014;New Zealand;250000000.0;7.5;Aidan Turner,Adam Brown,James Nesbitt;65000;2014
21;Color;Tom Hooper;158;148775460.0;Drama|Musical|Romance;les misérables;2012;United States of America;61000000.0;7.6;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000;2012
22;Color;Kathryn Bigelow;157;95720716.0;Drama|History|Thriller;zero dark thirty;2012;United States of America;40000000.0;7.4;Jennifer Ehle,Harold Perrineau,Parker Sawyers;39000;2012
23;Color;Ridley Scott;156;105219735.0;Action|Adventure|Drama|History;robin hood;2010;United States of America;200000000.0;6.7;Mark Addy,William Hurt,Scott Grimes;17000;2010
24;Color;Not avaiable;156;183635922.0;Adventure|Drama|Thriller|Western;the revenant;2015;United States of America;135000000.0;8.1;Leonardo DiCaprio,Tom Hardy,Lukas Haas;190000;2015
25;Color;Michael Bay;154;352358779.0;Action|Adventure|Sci-Fi;transformers: dark of the moon;2011;United States of America;195000000.0;6.3;Glenn Morshower,Lester Speight,Kevin Dunn;46000;2011
