;color;duration;gross;budget;imdb_score;movie_facebook_likes;director_name_enc;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Fantasy;History;Horror;Music;Musical;Mystery;Romance;Sci-Fi;Sport;Thriller;War;Western;Europe;Other;USA;2010;2011;2012;2013;2014;2015;2016;actor_tg_max;actor_tg_min;actor_tg_mean
0;1;240;116866727.0;100000000.0;8.2;138000;8.149999999999999;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.942857142857142;7.699999999999999;7.825396825396825
1;1;195;408992272.0;200000000.0;7.2;95000;7.2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.725;7.2;7.541666666666667
2;1;187;54116191.0;44000000.0;7.9;114000;8.2;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;7.9;7.9;7.900000000000001
3;1;186;46495.0;14000000.0;6.5;0;6.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;7.3;6.5;6.766666666666667
4;1;186;258355354.0;225000000.0;7.9;83000;7.766666666666667;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.766666666666667;7.766666666666667;7.766666666666667
6;1;144;303001229.0;180000000.0;7.9;166000;7.766666666666667;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;7.766666666666667;7.766666666666667;7.766666666666667
7;1;180;103867764.0;104051364.53488372;7.2;434;7.2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;7.5;7.2;7.3
8;1;173;623279547.0;220000000.0;8.1;123000;8.1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;8.1;7.725;7.952777777777778
10;1;172;27098580.0;102000000.0;7.2;124000;7.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;7.566666666666667;7.2;7.322222222222223
11;1;158;102515793.0;90000000.0;7.8;54000;6.972727272727272;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;7.8;6.55;7.383333333333333
13;1;169;187991439.0;165000000.0;8.6;349000;8.633333333333335;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;8.6;7.833333333333332;8.177777777777777
14;1;167;103867764.0;28000000.0;7.9;76000;7.9;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.9;7.9;7.900000000000001
15;1;165;25359200.0;4000000.0;8.0;92000;8.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;8.0;8.0;8.0
16;1;144;162804648.0;100000000.0;8.5;199000;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;8.5;7.65;8.03095238095238
17;1;165;245428137.0;210000000.0;5.7;56000;6.466666666666666;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5.7;5.7;5.7
18;1;164;448130642.0;250000000.0;8.5;164000;8.633333333333335;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;8.4;7.3;7.977777777777778
19;1;164;255108370.0;250000000.0;7.5;65000;7.766666666666667;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;7.766666666666667;7.766666666666667;7.766666666666667
21;1;158;148775460.0;61000000.0;7.6;144000;7.6;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;8.1;7.6;7.766666666666666
